mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,param_model__n_neighbors,param_model__kernel,param_model__probability,param_model__max_depth,param_model__n_estimators,param_model__learning_rate
0.39435815811157227,0.12598216859432193,0.05437545776367188,0.00099248976371565,0.5,{'model__C': 0.5},0.46691312051953193,0.4772192513368984,0.48501788908765653,0.46691312051953193,0.47577957837875756,0.47436859196847525,0.0068511718657380165,3,logreg,,,,,,
0.5092917442321777,0.1393834062417872,0.05200395584106445,0.0028857765396408477,1.0,{'model__C': 1},0.4865546218487395,0.49552772808586765,0.48501788908765653,0.46632798573975043,0.48493934381031156,0.4836735137144651,0.009519455805262738,2,logreg,,,,,,
0.44857282638549806,0.10875406927900218,0.044603729248046876,0.00851577070729956,5.0,{'model__C': 5},0.48501788908765653,0.4896814005724897,0.48425629875943216,0.5050944281024854,0.5022315480948575,0.49325631292338423,0.008744686363065496,1,logreg,,,,,,
0.09269509315490723,0.00677785193793492,0.25893664360046387,0.01015429962392817,,{'model__n_neighbors': 5},0.5695970695970696,0.5183558558558559,0.5398563318271348,0.5575541652183987,0.5642169064288346,0.5499160657854587,0.018694606790195988,1,knn,5.0,,,,,
0.10225477218627929,0.013249898318568123,0.2682835578918457,0.008933451284521879,,{'model__n_neighbors': 11},0.515513492774012,0.49812313970023225,0.49467536343095875,0.49900178253119426,0.5185730821845733,0.5051773721241941,0.00984350269583517,2,knn,11.0,,,,,
0.0857926845550537,0.020613862280202507,0.13423714637756348,0.09614764929087904,,{'model__n_neighbors': 21},0.4792852233676976,0.4792852233676976,0.4573712255772647,0.4792852233676976,0.46919298245614033,0.4728839756272996,0.00868558302713472,3,knn,21.0,,,,,
12.435136461257935,0.4311548447011634,0.5156761646270752,0.1058189410502096,0.5,"{'model__C': 0.5, 'model__kernel': 'rbf', 'model__probability': True}",0.4583333333333333,0.45785270629991126,0.45785270629991126,0.45785270629991126,0.458259325044405,0.45803015545549447,0.0002185864289217688,5,svc,,rbf,True,,,
9.378843450546265,0.7563764475919621,0.258892822265625,0.0972253383711364,0.5,"{'model__C': 0.5, 'model__kernel': 'linear', 'model__probability': True}",0.4896869779940446,0.46808705612829327,0.46808705612829327,0.47859321664608906,0.4577777777777778,0.47244641693489964,0.01084617094028841,1,svc,,linear,True,,,
11.666435718536377,0.887265360293066,0.559841251373291,0.12811472087277975,1.0,"{'model__C': 1, 'model__kernel': 'rbf', 'model__probability': True}",0.4583333333333333,0.45785270629991126,0.45785270629991126,0.45785270629991126,0.458259325044405,0.45803015545549447,0.0002185864289217688,5,svc,,rbf,True,,,
8.568148517608643,0.5817710598463255,0.1806131362915039,0.03663547611613224,1.0,"{'model__C': 1, 'model__kernel': 'linear', 'model__probability': True}",0.4896869779940446,0.46808705612829327,0.46808705612829327,0.47859321664608906,0.4563279857397504,0.4721564585272942,0.011246435794597229,2,svc,,linear,True,,,
9.54684271812439,1.749026615318384,0.24631819725036622,0.052589082428150066,10.0,"{'model__C': 10, 'model__kernel': 'rbf', 'model__probability': True}",0.45640569395017794,0.46691312051953193,0.46691312051953193,0.45785270629991126,0.4577777777777778,0.46117248381338616,0.004715443923769013,4,svc,,rbf,True,,,
448.98787422180175,21.42534486245666,0.05253157615661621,0.003584294410624524,10.0,"{'model__C': 10, 'model__kernel': 'linear', 'model__probability': True}",0.4896869779940446,0.46808705612829327,0.46808705612829327,0.47859321664608906,0.4563279857397504,0.4721564585272942,0.011246435794597229,2,svc,,linear,True,,,
1.7477897167205811,0.07397752549622229,0.09677939414978028,0.014839748781403986,,"{'model__max_depth': None, 'model__n_estimators': 200}",0.5749298017685763,0.5089161904593671,0.5098930481283422,0.590402223675605,0.544130118984642,0.5456542766033066,0.03313702048432302,2,rf,,,,,200.0,
4.266645431518555,0.21541406616376774,0.14924931526184082,0.003433858217486203,,"{'model__max_depth': None, 'model__n_estimators': 400}",0.592052226810752,0.5089161904593671,0.5197092412185018,0.5646871463895059,0.5530242472688516,0.5476778104293956,0.03023803820446575,1,rf,,,,,400.0,
1.3454334735870361,0.13280261137306812,0.08214139938354492,0.01839766108263314,,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.5207843137254902,0.4896869779940446,0.4896869779940446,0.4896869779940446,0.4904113613204689,0.4960513218056186,0.012369677926593263,5,rf,,,,10,200.0,
2.6363235473632813,0.10050570225901768,0.13217511177062988,0.04465493315844953,,"{'model__max_depth': 10, 'model__n_estimators': 400}",0.5207843137254902,0.4896869779940446,0.4896869779940446,0.4896869779940446,0.47990806642941874,0.49395066282740857,0.013941135959395319,6,rf,,,,10,400.0,
2.013525676727295,0.154533306768408,0.09964423179626465,0.025982745560470977,,"{'model__max_depth': 20, 'model__n_estimators': 200}",0.5585867620751341,0.4998875666729629,0.4998875666729629,0.5293417366946779,0.5374965536255859,0.5250400371482647,0.02264661439190541,4,rf,,,,20,200.0,
2.765558671951294,0.3366764050012811,0.06718134880065918,0.004324987065460608,,"{'model__max_depth': 20, 'model__n_estimators': 400}",0.5585867620751341,0.49900178253119426,0.4998875666729629,0.5293417366946779,0.5467008327994876,0.5267037361546913,0.024124159853329948,3,rf,,,,20,400.0,
7.099170684814453,0.3120764405584919,0.062087392807006835,0.003574504159634604,,"{'model__learning_rate': 0.05, 'model__n_estimators': 200}",0.5618338732411781,0.5194086976265194,0.515513492774012,0.5504414650098103,0.5530242472688516,0.5400443551840743,0.01886241851850291,4,gboost,,,,,200.0,0.05
