PC1,PC2
-180.64852732996815,-38.69294810341209
680.4152416549664,38.76060503192289
-96.7967776346668,341.10894008667583
-83.65959459632995,-58.646489620356455
-146.07264856925622,139.34946317679027
-138.4327084679503,108.58975277630259
-204.7348370365521,-130.32701252472978
-264.00907205229305,-333.9987776868887
-701.2360705520559,-33.320806536263305
680.3031853987914,38.64610399945141
-195.44656690196325,-88.42717835192536
-320.7751543844047,230.23585762322682
3538.328830050342,-134.66825993478096
2522.3493139165685,-741.2417537560929
-103.91576320283548,386.7883915194006
-178.88822165352576,-28.272249286278168
-187.23253023160214,-78.03363778760351
-186.18844180616452,-73.66644462312533
-175.5931562697915,-17.714164627756602
786.0296148903822,3277.746176908714
135.93850443915062,-20.36449961336433
-366.49176272815794,-60.58207798121674
467.2008383534958,2163.8969924293287
-261.55992002242465,-308.8887831753849
-147.73763170286566,107.32514468811408
-153.26941367066638,89.0277882095138
-177.88953100999424,-25.17886347068108
-264.4321143552279,-333.2677719012481
-159.678453914049,68.4311116673602
-220.48926831446897,-169.66954338172883
879.3761757923749,26.66430063816526
-161.79450944785458,59.882004838536915
15.646486927662863,-39.85123723439128
2374.75086831274,8.244736848786118
-176.82000979082886,-22.927228042509384
343.03954882236394,-25.303870325259865
351.02434200322887,1835.3259670527923
-908.8439824348129,-30.52039987546314
624.3860231003482,46.02820662069709
-181.09108413476633,-35.691148749193275
-184.78298121501894,-69.74286312685867
-175.53546322849797,-17.64429748205869
231.1782295020398,1394.9473892627486
-176.13386453232943,-19.73657277930529
-485.1124361225902,-46.21005479215833
-179.80868593399055,-31.713395081379446
-167.39482359343492,9.001021626144862
-165.91469335248894,15.794814072440829
-51.1298970628809,385.4547651802119
392.5733976059096,128.2766391720201
-179.5988672852336,-30.836747088794922
-371.72123234135825,24.33993627156707
-134.03528407097565,123.81745220874171
-183.15272534050973,-42.25505242793645
-167.90826637450618,41.530178510769105
-184.2741580798388,-67.46391726680422
-180.69116566817547,-34.349063945132386
-181.5965349407702,-45.683737034039375
5338.385104490664,22.692543095819275
-234.22710424745992,-216.02874164555533
-181.443693486573,-36.60861746799934
-214.49480080350622,-164.55192190451288
-180.58241961358863,-35.01328682540982
-263.9139485630308,-334.0972734380192
-176.57033058675097,-21.081985113950267
926.0062737064218,203.140805683672
-180.26920459403345,-34.310850275449496
10067.648994821104,-299.39887656132396
-176.63998430286847,-21.08600570959267
-181.67829487542758,-37.46838259146824
-181.4733772572681,-36.80327848065703
-262.41652468016537,-311.8780133467663
-184.4010701938878,-53.64532712186905
-183.76359994205404,-65.90365284257368
-181.1341768854527,-37.26009360072216
-187.79601964277845,-79.85055476820973
-372.62249217324825,17.98011741196389
-178.7419097494444,-27.932931545396485
-181.59851921932932,-37.43546869891931
-182.94409101594647,-41.577252462627115
-1626.055286239883,43.16096677362549
1680.392379746555,90.83174110763446
1379.1722646515877,-221.6500047265197
-181.68347210123375,-37.485055394134164
-110.00437775039654,205.524147332261
-372.0587666129395,23.251014342769167
-96.75709136354999,249.8399434075037
-172.6642522589982,26.10694380680482
-195.49625287374693,-91.26820700518648
-177.46714587162842,-24.069003992094935
-180.42116460876468,-33.38743221018642
1924.360870764237,103.83642361397409
-179.20255914879772,-38.151858445606095
1605.4812307119164,-224.1442535163319
-142.97251784435184,126.45327258781751
-174.2113922960516,-13.297719167821995
-208.15255827554302,-132.8952143125758
-170.3549895085789,-0.44679428793902787
-1587.3091884509977,-35.128048066537715
1046.0839559007377,-128.21112856522348
-220.5321133283469,-169.5267443518408
-542.9146966649951,-27.131657455244095
141.64311732374745,1065.0551081992269
-591.0140069457582,-15.799801169672435
-66.09574944768337,164.08567044802146
-109.77455762037062,206.04400799134692
-32.896132570945156,466.784910669237
-174.66394412657382,-1.4318242670973973
3221.8033701724808,-168.71652985735676
-184.11042843536097,-66.05592980664733
-619.4237594525491,-109.64711582825949
-177.95773467070467,-25.422162668536245
-175.5882162985572,-17.649419613295265
-181.97973377009248,-38.66519858866809
-175.0917236592427,-15.900042547578508
-1174.732104680841,-49.353567502077674
-180.38675719811,-33.23889795346284
-176.59467177900342,-20.335100415587448
-182.13319098417742,-38.96187469072045
-182.75018942473116,-62.068624465663824
2616.346816075299,-267.39535221316504
-177.4702789582384,-23.808340663478006
-158.18889346792912,86.82884427615625
-181.41392418891473,-44.40222701525328
-181.6829127477572,-37.502359708227374
4846.198640555269,87.34685601827036
-221.66240340712147,-174.24215162411974
-419.55079702789226,-158.7789472799294
-216.20173617009323,-161.58869969958045
-790.0393964469376,18.179064876308573
-182.3844388454968,-39.87802118164788
-177.3814765401603,-16.60833071810005
-180.67211187191515,-34.15619276134193
-498.4299099307584,-53.78290618981375
-406.94566675866827,-115.7063195859709
-179.92554422484227,-32.32101320275767
-282.85139701323124,-381.38466147357803
-421.7180195801079,-54.62794617119775
-185.17188311243672,-70.24235087840773
-180.71511950485365,-35.819033504323755
-469.7775988682879,41.261589271588605
